,PC1
public.bprpoc_naocl_assay__value_r0,-8.007459093010093e-06
public.rmi_materials__quantity_indented_min,1.787151050003377e-05
public.rmi_materials__quantity_indented_max,-9.62427329259663e-06
public.rmi_materials__quantity_indented_mean,4.249244753360131e-05
public.rmi_materials__quantity_indented_std,2.445197917235815e-05
public.rmi_materials__quantity_issued_min,-6.717062785382834e-05
public.rmi_materials__quantity_issued_max,-6.617121828618981e-05
public.rmi_materials__quantity_issued_mean,-3.599953746456162e-05
public.rmi_materials__quantity_issued_std,-4.235776071570302e-05
public.bprpoc_temp_records__temperature_min,-2.336511666814346e-05
public.bprpoc_temp_records__temperature_max,0.00018523980504429785
public.bprpoc_temp_records__temperature_mean,0.00023878836605850757
public.bprpoc_temp_records__temperature_std,-4.830445235120217e-05
public.bprpoc_raw_material_usage_records__final_volume_l_min,-9.809252213650086e-05
public.bprpoc_raw_material_usage_records__final_volume_l_max,2.4701732325815277e-05
public.bprpoc_raw_material_usage_records__final_volume_l_std,3.8176504268680105e-05
public.bprpoc_raw_material_usage_records__initial_volume_l_min,-0.00020870041798245502
public.bprpoc_raw_material_usage_records__initial_volume_l_max,-0.002556910486124201
public.bprpoc_raw_material_usage_records__initial_volume_l_mean,-0.0008072045397708564
public.bprpoc_raw_material_usage_records__initial_volume_l_std,0.000468070739453634
public.bprpoc_naocl_calc_weight__value_r0,0.9999527841941329
public.bprpoc_weighing_details__gross_wt_min,-0.00013566017980578602
public.bprpoc_weighing_details__gross_wt_max,-5.438782462473312e-05
public.bprpoc_weighing_details__gross_wt_mean,2.5099654269196836e-05
public.bprpoc_weighing_details__gross_wt_std,2.491544269737513e-05
public.bprpoc_weighing_details__net_wt_min,-0.00046987701103245463
public.bprpoc_weighing_details__net_wt_mean,0.005395017498933962
public.bprpoc_weighing_details__net_wt_std,-0.0026607135906835753
public.bprpoc_weighing_details__tare_wt_min,-3.1227744803197533e-07
public.bprpoc_weighing_details__tare_wt_max,-0.0044443238201308756
public.bprpoc_weighing_details__tare_wt_std,0.0001849324217080015
public.bprpoc_nitrogen_details__n2_pressure_in_kg_max,9.05689866084829e-05
public.bprpoc_nitrogen_details__n2_pressure_in_kg_mean,-9.109138592094361e-06
public.bprpoc_total_wt__value_r1,0.00028733451028995605
public.bprpoc_batch_no__value_r9,4.266627489853051e-05
public.bprpoc_pH__value_r0,5.677675756728831e-06
public.atrs_test_details__results_min,2.433093869209167e-07
public.atrs_test_details__results_max,6.0758675804625175e-05
public.atrs_test_details__results_mean,-4.2574962501588973e-07
public.atrs_test_details__results_std,2.6185049060673336e-07
public.bprpoc_temp_vacuum_records__vacuum_mm_hg_r3,-3.742480063215896e-07
public.bprpoc_temp_vacuum_records__vacuum_mm_hg_r4,4.474131358186574e-05
public.bprpoc_temp_vacuum_records__vacuum_mm_hg_r5,2.1365684213512465e-06
public.bprpoc_done_by__value_r0,-1.4320135162848504e-07
public.bprpoc_material_usage_details__actual_quantity_min,-0.0008550078587110093
public.bprpoc_material_usage_details__actual_quantity_max,0.005305042104608654
public.bprpoc_material_usage_details__actual_quantity_mean,0.00012940302490436546
public.bprpoc_material_usage_details__actual_quantity_std,0.0006990558577820871
public.bprpoc_material_usage_details__standard_quantity_mean,-0.0010251510735323792
public.bprpoc_material_usage_details__standard_quantity_std,-0.000334834323092185
sample_weight,9.029166850546723e-08
