from_node_id,to_node_id,riba_link_id,riba_from_node_id,riba_to_node_id,bid,node_type,node_id,fid,comment
-1,2,[13],11.0,3.0,-1,LevelBoundary,11,LevelBoun_11,
2,-2,[14],3.0,14.0,-2,Terminal,14,Terminal_14,
-3,3,[15],15.0,6.0,-3,FlowBoundary,15,FlowBound_15,
-4,1,[16],16.0,1.0,-4,FlowBoundary,16,FlowBound_16,
4,-5,[17],9.0,17.0,-5,LevelBoundary,17,LevelBoun_17,
-6,1,[-1],,1.0,-6,Drainage,1,Drainage_1,
-7,1,[-1],,1.0,-7,Precipitation,1,Precipita_1,
1,-8,[-1],1.0,,-8,Evaporation,1,Evaporati_1,
-9,2,[-1],,3.0,-9,Drainage,3,Drainage_3,
-10,2,[-1],,3.0,-10,Precipitation,3,Precipita_3,
2,-11,[-1],3.0,,-11,Evaporation,3,Evaporati_3,
-12,4,[-1],,9.0,-12,Drainage,9,Drainage_9,
-13,4,[-1],,9.0,-13,Precipitation,9,Precipita_9,
4,-14,[-1],9.0,,-14,Evaporation,9,Evaporati_9,
-15,3,[-1],,6.0,-15,Drainage,6,Drainage_6,
-16,3,[-1],,6.0,-16,Precipitation,6,Precipita_6,
3,-17,[-1],6.0,,-17,Evaporation,6,Evaporati_6,
